FECHA_CORTE;CODIGO_ALUMNO;FECHA_NACIMIENTO;EDAD;SEXO;TALLER;LOCAL;DIAS;HORARIO;PERIODO;PRECIO_JESUS_MARIA;PRECIO_PUBLICO_GENERAL;PRECIO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240430;ea410f3c639262da961ebfec39d08c44c71e8d2f56f423c33f4f2998ebb63c7e;44037;7;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;ecf13b756a7075c27aa91edd0b3377b917d4cb6f8d05262ad189a266f3c2a419;44037;5;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;JUEVES - SABADO;3:00 PM - 4:00 PM / 11:00 AM - 12:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f24fd576ef15aafe3d52a13e970dcd5a88958c282944bd53b6f0c6cf694e8c22;38807;5;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;VIERNES - SABADO;4:00 PM - 5:00 PM / 5:00 PM - 6:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f24fd576ef15aafe3d52a13e970dcd5a88958c282944bd53b6f0c6cf694e8c22;38807;5;MASCULINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;5:00 PM - 6:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;f3b729b526fce14951a0405e158c74f41a22e1d77da0fca71be30fe6b00ea305;41721;5;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f445d7e0511f47dea2213482c1af399f0197017825e6f3cbf6e9396289876c65;39750;7;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f6b9e1b86622d56b6fee02f4bcbb0999ec9406e251f614d6a8be1e5413f2fd1f;41948;3;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;MIERCOLES - VIERNES;9:00 AM - 10:00 AM;202403;0;200;200;LIMA;LIMA;JESUS MARIA;150113
20240430;f6b9e1b86622d56b6fee02f4bcbb0999ec9406e251f614d6a8be1e5413f2fd1f;41270;3;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;MARTES - JUEVES;9:00 AM - 10:00 AM;202403;0;200;200;LIMA;LIMA;JESUS MARIA;150113
20240430;f83a7890b5a7d8cf54bdd2a3e59b0abee89b550bbc5119b79ea25a8546664973;41270;5;FEMENINO;PREBALLET;CASA DE LA JUVENTUD;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;f872b9a5368412c3c17194bced1f5be8002e45de76b7c313cb9babbf845fef39;41578;4;MASCULINO;PRE ENGLISH;CASA DE LA JUVENTUD;SABADO;9:00 AM - 11:00 AM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;f94e9e44fb2c8f4477962cc29cc909378d50d76b9fefb8755e72c70e032595a3;41578;12;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;4:00 PM - 5:00 PM / 3:00 PM - 4:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f959689a39ca0f8bc5f86fe7d5673ff415642e63e382707f7274ac5150d5f061;25429;8;FEMENINO;VOLEY;CASA DE LA JUVENTUD;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;f9741a780f6e4015bc7aae56858a5531bad347d414204b3ce0d2360e1f9bbdf7;43733;-11;FEMENINO;VOLEY;CASA DE LA JUVENTUD;LUNES - MIERCOLES;5:00 PM - 6:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;fb5f58b73bf15f94e42a4d72e587287ab7b35dc483174103283af993562b8d5e;43733;5;FEMENINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;fc143eb4b1de305a93101555210bae477740abe22ddbe688387ac09afda8e3d8;41807;8;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;fc489030d6a5a0413c8d6db47ddf5cbc066a36e2691fdcd2d8137edac6faeb87;37268;5;MASCULINO;FUTBOL MIXTO;PARQUE PRÓCERES;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
